,breach_diff,dtoc_rate_diff
RA2,0.15938303286718594,0.1045473591980523
RA3,0.13312300600836408,0.646666845421464
RA4,0.05297759727513724,0.4398199613171978
RA7,0.0894615060990703,0.2175271270617331
RA9,0.14032140957352654,0.2432843180382933
RAE,0.03857416941929786,0.07839796575956451
RAJ,0.1319531792164258,0.1995525017919096
RAL,0.08330006535334707,0.18325830499206325
RAP,0.2934547859892173,0.00023730027630197714
RAS,0.11398724985589817,0.06207691022981009
RAX,0.04449762551379297,-0.10391648055346181
RBA,0.055501211283075905,0.8161966214141123
RBD,0.06787532552403412,0.29148324084901667
RBK,0.10820214820952131,0.030677535442544118
RBL,0.16199965434328198,0.02012458477084074
RBN,0.11216567443051384,0.11525535871425822
RBT,0.06295026148796037,0.013663390369778705
RBZ,0.037746641088031996,0.39121199058372913
RC1,0.049170250929958,0.10459716809758121
RC9,-0.024858149444994336,-0.16725643050376013
RCB,0.11779429557648502,0.1810406642897657
RCD,0.03378349251179903,0.1530858075806726
RCF,0.012382062167003605,0.07340232122933585
RCX,0.14952815394391528,0.10181099841411151
RD1,0.14871001803084316,0.05431681696901802
RD3,0.12541599456389912,0.04246986266230074
RD8,-0.0011156824316213981,0.41413068277633946
RDD,0.13033367581928187,0.006426488722455673
RDE,0.19564359034696324,0.38566540604721034
RDU,0.0421613922190198,0.16384624792531177
RDZ,0.04934456746427046,0.30281157459059593
RE9,0.06885143054604956,0.14708666549617946
REF,0.20136183950701825,0.29816493447192643
REM,0.10702151482441252,0.13673956402913573
RF4,0.038516299759994016,-0.20970548485271082
RFF,0.08085560149031353,-0.007844712417435978
RFR,0.12429599372780656,0.1625823005487075
RFS,0.08058435087010529,0.032417696805691024
RGN,0.1046740596683925,0.26769198368281943
RGP,-0.019701773611143933,0.16251312363080234
RGR,0.043221072987891046,0.22308501876086753
RGT,0.03708735350880696,-0.030983714346220936
RH8,0.027800778025050293,0.2966294088723375
RHM,0.08644944793273297,0.5159348772597769
RHU,0.1515304249401081,0.13856003644546705
RHW,0.049107136258606916,0.01327657337326782
RJ1,0.05110137416884201,0.12565452745945666
RJ2,0.11082566869985494,-0.15504891620599365
RJ6,0.04953485191729935,0.022846840497593474
RJ7,0.10283497805918226,0.023598515894676472
RJC,-0.06094794390130869,0.29663170620752716
RJE,0.12697745150765372,0.2753009769368431
RJF,0.09595762925368691,0.3494358569386507
RJL,0.07157372665510991,0.056726159857591246
RJN,0.0806917478727256,0.7009162549014638
RJR,0.15052505025075508,0.22136177236478896
RJZ,0.11782425334187509,-0.0007994244118958577
RK5,0.040526779144126564,-0.4142601701827306
RK9,0.12154461141759208,0.16169112006910513
RKB,0.06171187317157954,0.18536950962328036
RKE,0.12604366879805434,0.05084832932532554
RL4,0.08099995527533488,0.14670438825437027
RLN,0.040012976521868575,-0.08264367557332404
RLQ,0.08139569162222818,0.29829069781328743
RLT,0.1097153769133615,-0.06679048176330779
RM1,0.1541788639155578,0.15652404276980098
RM2,0.2151523619809425,0.6708138236473568
RM3,0.0470667188134812,0.0052353747494603975
RMC,0.13451810420518642,0.5144247217198579
RMP,0.1489218089331429,0.5915960249936755
RN3,0.1258874018901645,0.1281811177656384
RN5,0.15678204697295023,0.4706872012129544
RN7,0.10856383458163667,0.2134805157852534
RNA,0.011241706104426805,0.22044396567288552
RNL,0.14399571984994072,0.35965353368858943
RNQ,0.15743227626028397,0.26010832491573505
RNS,0.06474238125950367,0.2896649229688607
RNZ,0.04631546723852829,0.14277058194225078
RP5,0.03913338504546722,-0.18404190436289425
RPA,0.1777637580135089,0.1896234992243182
RQ6,0.07013078120140412,0.06955924543035938
RQ8,0.21828184723107508,-0.2506361044088616
RQM,0.03962337864102751,0.0760364355441398
RQQ,0.08803373086289186,0.16348451573989603
RQW,0.0839880526923816,0.34158532260409646
RQX,0.020752702732949588,0.1759920907862721
RR1,0.08686008274937283,0.12090612347560686
RR7,0.05054725894309815,0.07647257737596028
RR8,0.0783035380604872,0.10279015729854707
RRF,0.04293627632005664,-0.13902391047777246
RRK,0.09759580717706928,0.02697673800244621
RRV,0.07162335654577714,0.15528600426376965
RTD,0.0783598261307296,0.1862047580172842
RTE,0.12368516237931096,-0.013218324630288603
RTF,0.08152352577295394,-0.02619388425093069
RTG,0.06022865011434074,0.11380766360902242
RTH,0.15353285025443947,0.03764075726457827
RTK,0.07491995160430426,-0.28924579428873354
RTP,-0.1882092586098089,-0.26543315401693135
RTR,0.04146032865726914,0.10472153557622704
RTX,0.053710262242340864,0.1648444164900252
RVJ,0.17086785905028296,0.28427157361107647
RVR,0.036858874192251576,-0.03359213975879896
RVV,0.14872206028908186,0.02079073580919799
RVW,0.05861306762912917,-0.09402153688515438
RVY,0.11926710518625544,0.032672883822545656
RW3,0.024821890474217734,0.22760694919687252
RW6,0.19013280547307468,0.0592532902305989
RWA,0.20139206132949775,-0.06139679559124123
RWD,0.09452461922653216,0.2403170635420669
RWE,0.1281137810242594,0.03290985396392611
RWF,0.08555496657215307,0.2969389263852591
RWG,0.21948477390907273,0.09963473414891111
RWH,0.17983014398216388,-0.02444790637065361
RWJ,0.230673930809293,0.17525367069890802
RWP,0.07224979769321517,-0.07350557607807928
RWW,0.12354582121022015,0.01897700471646882
RWY,0.055246979345215066,0.1606758376116661
RX1,0.16405637765178788,0.07184806908025926
RXC,0.11563919861453792,0.4021500957661778
RXF,0.12424086107092887,0.1743530416888982
RXH,0.13388172558028172,0.1015439057865552
RXK,0.05666282709610889,-0.25531105964718914
RXL,0.10608652696198281,0.11024772276236783
RXN,0.1088661534172674,0.0628786761494115
RXP,0.08471711183773406,-0.17079769157842709
RXQ,0.05618611301001397,0.13736633756527702
RXR,0.06771368481514053,0.28332596775697916
RXW,0.12931087849483341,0.2356020472299542
RYJ,0.10318087902839476,0.019020834759699984
RYR,0.0017384718731554977,0.0852986358521679
